============================================
Dump: raid_overgod_20260919_161016
============================================

[I] segments loaded: 21189
[I] TLV messages parsed: 31387
[I] S2C: 856148 bytes, 856148 walked
[I] known players (valid range): 437

===== RESULTS =====
Total hits: 428

  Ohsorry         ASCII      tag= 492:  3 hits
  Ohsorry         UTF-8      tag= 492:  3 hits
  Onehitwin       ASCII      tag= 492:  1 hits
  Onehitwin       UTF-8      tag= 492:  1 hits
  Overgod         ASCII      tag=  65:  16 hits
  Overgod         ASCII      tag= 492:  11 hits
  Overgod         UTF-16LE   tag=  65:  1 hits
  Overgod         UTF-16LE   tag= 492:  1 hits
  Overgod         UTF-8      tag=  65:  16 hits
  Overgod         UTF-8      tag= 492:  11 hits
  Peoplebeck      ASCII      tag=  65:  15 hits
  Peoplebeck      ASCII      tag= 492:  9 hits
  Peoplebeck      UTF-8      tag=  65:  15 hits
  Peoplebeck      UTF-8      tag= 492:  9 hits
  Powerpoint      ASCII      tag= 492:  1 hits
  Powerpoint      UTF-8      tag= 492:  1 hits
  Ricchard        ASCII      tag= 492:  1 hits
  Ricchard        UTF-8      tag= 492:  1 hits
  Shiirou         ASCII      tag= 492:  1 hits
  Shiirou         UTF-8      tag= 492:  1 hits
  Sicotin         UTF-16LE   tag= 492:  1 hits
  Tagitam         ASCII      tag= 492:  14 hits
  Tagitam         UTF-16BE   tag=  65:  3 hits
  Tagitam         UTF-16LE   tag=  65:  3 hits
  Tagitam         UTF-8      tag= 492:  14 hits
  Templo          UTF-16LE   tag=  65:  3 hits
  TheRocks        UTF-16LE   tag= 206:  1 hits
  Tiago           ASCII      tag= 492:  1 hits
  Tiago           UTF-8      tag= 492:  1 hits
  Tounabad        ASCII      tag= 492:  2 hits
  Tounabad        UTF-16LE   tag= 492:  1 hits
  Tounabad        UTF-8      tag= 492:  2 hits
  Txntj           ASCII      tag= 492:  1 hits
  Txntj           UTF-8      tag= 492:  1 hits
  Typohacker      ASCII      tag=  65:  3 hits
  Typohacker      ASCII      tag= 492:  2 hits
  Typohacker      UTF-8      tag=  65:  3 hits
  Typohacker      UTF-8      tag= 492:  2 hits
  Venery          ASCII      tag= 492:  1 hits
  Venery          UTF-8      tag= 492:  1 hits
  Worb            ASCII      tag= 492:  1 hits
  Worb            UTF-8      tag= 492:  1 hits
  YOLO            UTF-16LE   tag= 492:  1 hits
  Zargus          ASCII      tag=   9:  2 hits
  Zargus          ASCII      tag=  65:  2 hits
  Zargus          UTF-8      tag=   9:  2 hits
  Zargus          UTF-8      tag=  65:  2 hits

===== SUMMARY TABLE =====
Nick            Encoding      Tag     Hits
Adrianx         ASCII         492        1
Adrianx         UTF-8         492        1
Alferdd         ASCII          62        1
Alferdd         UTF-8          62        1
Angelicais      ASCII          65       13
Angelicais      ASCII         492        3
Angelicais      UTF-16LE       65        1
Angelicais      UTF-16LE      492        3
Angelicais      UTF-8          65       13
Angelicais      UTF-8         492        3
ANOMALIA        UTF-16LE      206        2
ANOMALIA        UTF-16LE      492        2
Anonymous       UTF-16LE      206        1
ANTIELFS        UTF-16LE      206        1
ANTIELFS        UTF-16LE      492        2
Aurelinho       ASCII         492        1
Aurelinho       UTF-8         492        1
Baldwiniv       ASCII         492        1
Baldwiniv       UTF-8         492        1
Banmidou        ASCII         492        1
Banmidou        UTF-8         492        1
Beru            ASCII         492        1
Beru            UTF-8         492        1
Caciquewz       ASCII         492        1
Caciquewz       UTF-8         492        1
Caloteira       ASCII         346        1
Caloteira       ASCII         492        1
Caloteira       UTF-16LE       65        1
Caloteira       UTF-16LE      492        1
Caloteira       UTF-8         346        1
Caloteira       UTF-8         492        1
Carsant         ASCII         492        2
Carsant         UTF-8         492        2
Cavalarian      ASCII         492        1
Cavalarian      UTF-8         492        1
Cavvveira       ASCII         492        1
Cavvveira       UTF-8         492        1
Centablg        ASCII         492        1
Centablg        UTF-16LE      492        1
Centablg        UTF-8         492        1
Crasique        ASCII          65        6
Crasique        UTF-8          65        6
Darkstalke      ASCII         492        1
Darkstalke      UTF-8         492        1
Discipulo       ASCII         492        1
Discipulo       UTF-8         492        1
Dkpatex         ASCII          65        1
Dkpatex         UTF-8          65        1
Dontcry         ASCII         492        1
Dontcry         UTF-8         492        1
Escobarsix      ASCII          65        4
Escobarsix      ASCII         492        3
Escobarsix      UTF-8          65        4
Escobarsix      UTF-8         492        3
Fuckxy          ASCII         492        1
Fuckxy          UTF-8         492        1
Fvck            ASCII          65        1
Fvck            ASCII         492        2
Fvck            UTF-8          65        1
Fvck            UTF-8         492        2
Gloss           ASCII          65        1
Gloss           ASCII         492        4
Gloss           UTF-8          65        1
Gloss           UTF-8         492        4
Godfast         ASCII          65        3
Godfast         UTF-8          65        3
Havel           ASCII         492        1
Havel           UTF-8         492        1
Hiagodk         ASCII          65        6
Hiagodk         ASCII         492        1
Hiagodk         UTF-8          65        6
Hiagodk         UTF-8         492        1
Hiroxd          ASCII          65        6
Hiroxd          UTF-8          65        6
Hoteador        ASCII          65        2
Hoteador        ASCII         492        1
Hoteador        UTF-8          65        2
Hoteador        UTF-8         492        1
Jefzk           ASCII         492        1
Jefzk           UTF-8         492        1
Joones          UTF-16LE      492        1
Jserafim        ASCII         492        5
Jserafim        UTF-8         492        5
Kaidou          ASCII         492        1
Kaidou          UTF-8         492        1
Kherveros       ASCII         492        1
Kherveros       UTF-8         492        1
Kihorror        ASCII         492        1
Kihorror        UTF-8         492        1
Lagspear        ASCII          65        3
Lagspear        ASCII         492        1
Lagspear        UTF-8          65        3
Lagspear        UTF-8         492        1
Lanbo           UTF-16LE      492        1
Letalidade      ASCII         492        1
Letalidade      UTF-8         492        1
Marchielo       ASCII         492        1
Marchielo       UTF-8         492        1
Meupau          ASCII         492        1
Meupau          UTF-8         492        1
Miolos          ASCII         492        1
Miolos          UTF-8         492        1
Mlkdopo         ASCII           9        1
Mlkdopo         ASCII          65        1
Mlkdopo         ASCII         492        1
Mlkdopo         UTF-8           9        1
Mlkdopo         UTF-8          65        1
Mlkdopo         UTF-8         492        1
Monkey          ASCII         492        1
Monkey          UTF-8         492        1
Nerftotem       ASCII          65        1
Nerftotem       ASCII         492        1
Nerftotem       UTF-16LE      492        2
Nerftotem       UTF-8          65        1
Nerftotem       UTF-8         492        1
Ninawick        ASCII          65        2
Ninawick        ASCII         492        5
Ninawick        UTF-8          65        2
Ninawick        UTF-8         492        5
Niukkuin        ASCII          65        2
Niukkuin        ASCII         492        2
Niukkuin        UTF-8          65        2
Niukkuin        UTF-8         492        2
Ohsorry         ASCII         492        3
Ohsorry         UTF-8         492        3
Onehitwin       ASCII         492        1
Onehitwin       UTF-8         492        1
Overgod         ASCII          65       16
Overgod         ASCII         492       11
Overgod         UTF-16LE       65        1
Overgod         UTF-16LE      492        1
Overgod         UTF-8          65       16
Overgod         UTF-8         492       11
Peoplebeck      ASCII          65       15
Peoplebeck      ASCII         492        9
Peoplebeck      UTF-8          65       15
Peoplebeck      UTF-8         492        9
Powerpoint      ASCII         492        1
Powerpoint      UTF-8         492        1
Ricchard        ASCII         492        1
Ricchard        UTF-8         492        1
Shiirou         ASCII         492        1
Shiirou         UTF-8         492        1
Sicotin         UTF-16LE      492        1
Tagitam         ASCII         492       14
Tagitam         UTF-16BE       65        3
Tagitam         UTF-16LE       65        3
Tagitam         UTF-8         492       14
Templo          UTF-16LE       65        3
TheRocks        UTF-16LE      206        1
Tiago           ASCII         492        1
Tiago           UTF-8         492        1
Tounabad        ASCII         492        2
Tounabad        UTF-16LE      492        1
Tounabad        UTF-8         492        2
Txntj           ASCII         492        1
Txntj           UTF-8         492        1
Typohacker      ASCII          65        3
Typohacker      ASCII         492        2
Typohacker      UTF-8          65        3
Typohacker      UTF-8         492        2
Venery          ASCII         492        1
Venery          UTF-8         492        1
Worb            ASCII         492        1
Worb            UTF-8         492        1
YOLO            UTF-16LE      492        1
Zargus          ASCII           9        2
Zargus          ASCII          65        2
Zargus          UTF-8           9        2
Zargus          UTF-8          65        2


============================================
Dump: raid_guild_20260919_094131
============================================

[I] segments loaded: 35659
[I] TLV messages parsed: 52706
[I] S2C: 8523118 bytes, 8523118 walked
[I] known players (valid range): 437

===== RESULTS =====
Total hits: 1464

  Adestraelf      ASCII      tag=  65:  3 hits
  Adestraelf      ASCII      tag= 492:  11 hits
  Adestraelf      UTF-8      tag=  65:  3 hits
  Adestraelf      UTF-8      tag= 492:  11 hits
  Akkk            ASCII      tag=  65:  2 hits
  Akkk            ASCII      tag= 492:  13 hits
  Akkk            UTF-8      tag=  65:  2 hits
  Akkk            UTF-8      tag= 492:  13 hits
  Amandx          ASCII      tag=  65:  9 hits
  Amandx          ASCII      tag= 492:  11 hits
  Amandx          UTF-8      tag=  65:  9 hits
  Amandx          UTF-8      tag= 492:  11 hits
  Anemos          ASCII      tag= 492:  3 hits
  Anemos          UTF-16LE   tag= 492:  7 hits
  Anemos          UTF-8      tag= 492:  3 hits
  Anttt           ASCII      tag=  65:  1 hits
  Anttt           ASCII      tag= 492:  9 hits
  Anttt           UTF-8      tag=  65:  1 hits
  Anttt           UTF-8      tag= 492:  9 hits
  Aodebiao        ASCII      tag=  65:  3 hits
  Aodebiao        ASCII      tag= 492:  3 hits
  Aodebiao        UTF-8      tag=  65:  3 hits
  Aodebiao        UTF-8      tag= 492:  3 hits
  Aurelinho       ASCII      tag=  65:  7 hits
  Aurelinho       ASCII      tag= 492:  4 hits
  Aurelinho       UTF-8      tag=  65:  7 hits
  Aurelinho       UTF-8      tag= 492:  4 hits
  Azul            ASCII      tag= 492:  1 hits
  Azul            UTF-8      tag= 492:  1 hits
  Banmidou        ASCII      tag= 492:  1 hits
  Banmidou        UTF-8      tag= 492:  1 hits
  Baxote          ASCII      tag=   9:  1 hits
  Baxote          ASCII      tag=  65:  18 hits
  Baxote          ASCII      tag= 492:  30 hits
  Baxote          UTF-16LE   tag=  65:  1 hits
  Baxote          UTF-16LE   tag= 492:  1 hits
  Baxote          UTF-8      tag=   9:  1 hits
  Baxote          UTF-8      tag=  65:  18 hits
  Baxote          UTF-8      tag= 492:  30 hits
  Bibobi          ASCII      tag=  65:  3 hits
  Bibobi          ASCII      tag= 492:  1 hits
  Bibobi          UTF-16LE   tag= 492:  7 hits
  Bibobi          UTF-8      tag=  65:  3 hits
  Bibobi          UTF-8      tag= 492:  1 hits
  Bjergsen        ASCII      tag=  65:  2 hits
  Bjergsen        ASCII      tag= 492:  3 hits
  Bjergsen        UTF-8      tag=  65:  2 hits
  Bjergsen        UTF-8      tag= 492:  3 hits
  Brokeblade      ASCII      tag= 551:  1 hits
  Brokeblade      UTF-8      tag= 551:  1 hits
  Brutaly         ASCII      tag=  65:  2 hits
  Brutaly         UTF-16LE   tag= 492:  1 hits
  Brutaly         UTF-8      tag=  65:  2 hits
  Bunequinho      ASCII      tag=  65:  11 hits
  Bunequinho      ASCII      tag= 492:  21 hits
  Bunequinho      UTF-8      tag=  65:  11 hits
  Bunequinho      UTF-8      tag= 492:  21 hits
  Caloteira       ASCII      tag=  65:  3 hits
  Caloteira       ASCII      tag= 492:  10 hits
  Caloteira       UTF-8      tag=  65:  3 hits
  Caloteira       UTF-8      tag= 492:  10 hits
  Centablg        ASCII      tag= 492:  1 hits
  Centablg        ASCII      tag= 551:  1 hits
  Centablg        UTF-8      tag= 492:  1 hits
  Centablg        UTF-8      tag= 551:  1 hits
  Charmiinho      ASCII      tag=  65:  12 hits
  Charmiinho      ASCII      tag= 492:  10 hits
  Charmiinho      UTF-8      tag=  65:  12 hits
